,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Provincia
362,2018,4,33574.0,9.0,33583.0,,Catamarca
363,2018,4,103257.0,13.0,103270.0,,Chaco
364,2018,4,77204.0,1.518,78722.0,,Chubut
365,2018,4,737234.0,105.0,737339.0,,Córdoba
366,2018,4,100591.0,10.0,100601.0,,Corrientes
367,2018,4,222003.0,44.0,222047.0,,Entre Ríos
368,2018,4,45204.0,0.0,45204.0,,Formosa
369,2018,4,90132.0,1.0,90133.0,,Jujuy
370,2018,4,85368.0,268.0,85636.0,,La Pampa
371,2018,4,51633.0,18.0,51651.0,,La Rioja
372,2018,4,204982.0,1.322,206304.0,,Mendoza
373,2018,4,116273.0,0.0,116273.0,,Misiones
374,2018,4,112309.0,2.056,114365.0,,Neuquén
375,2018,4,115922.0,915.0,116837.0,,Río Negro
376,2018,4,134577.0,1.0,134578.0,,Salta
377,2018,4,61834.0,564.0,62398.0,,San Juan
378,2018,4,96040.0,291.0,96331.0,,San Luis
379,2018,4,24443.0,325.0,24768.0,,Santa Cruz
380,2018,4,720161.0,229.0,720390.0,,Santa Fe
381,2018,4,89333.0,2.0,89335.0,,Santiago Del Estero
382,2018,4,45716.0,544.0,46260.0,,Tierra Del Fuego
383,2018,4,171972.0,32.0,172004.0,,Tucumán
384,2018,3,3599714.0,10.563,3610277.0,,Buenos Aires
385,2018,3,1385804.0,6.686,1392490.0,,Capital Federal
386,2018,3,34215.0,11.0,34226.0,,Catamarca
387,2018,3,102021.0,12.0,102033.0,,Chaco
388,2018,3,101310.0,2.426,103736.0,,Chubut
389,2018,3,725764.0,94.0,725858.0,,Córdoba
390,2018,3,99445.0,11.0,99456.0,,Corrientes
391,2018,3,204560.0,48.0,204608.0,,Entre Ríos
392,2018,3,44865.0,0.0,44865.0,,Formosa
393,2018,3,44934.0,1.0,44935.0,,Jujuy
394,2018,3,83180.0,244.0,83424.0,,La Pampa
395,2018,3,51855.0,17.0,51872.0,,La Rioja
396,2018,3,205545.0,1.484,207029.0,,Mendoza
397,2018,3,108042.0,0.0,108042.0,,Misiones
398,2018,3,114713.0,2.005,116718.0,,Neuquén
399,2018,3,112433.0,1.059,113492.0,,Río Negro
400,2018,3,132882.0,1.0,132883.0,,Salta
401,2018,3,63823.0,658.0,64481.0,,San Juan
402,2018,3,74121.0,300.0,74421.0,,San Luis
403,2018,3,33565.0,434.0,33999.0,,Santa Cruz
404,2018,3,694883.0,217.0,695100.0,,Santa Fe
405,2018,3,86358.0,2.0,86360.0,,Santiago Del Estero
406,2018,3,45056.0,508.0,45564.0,,Tierra Del Fuego
407,2018,3,171135.0,31.0,171166.0,,Tucumán
408,2018,2,3490134.0,10.565,3500699.0,,Buenos Aires
409,2018,2,1362498.0,6.688,1369186.0,,Capital Federal
410,2018,2,34078.0,11.0,34089.0,,Catamarca
411,2018,2,98509.0,12.0,98521.0,,Chaco
412,2018,2,98137.0,2.427,100564.0,,Chubut
413,2018,2,712979.0,94.0,713073.0,,Córdoba
414,2018,2,97946.0,11.0,97957.0,,Corrientes
415,2018,2,199937.0,48.0,199985.0,,Entre Ríos
416,2018,2,44554.0,,44554.0,,Formosa
417,2018,2,45132.0,1.0,45133.0,,Jujuy
418,2018,2,82177.0,244.0,82421.0,,La Pampa
419,2018,2,51931.0,17.0,51948.0,,La Rioja
420,2018,2,199468.0,1.484,200952.0,,Mendoza
421,2018,2,106147.0,,106147.0,,Misiones
422,2018,2,113842.0,2.006,115848.0,,Neuquén
423,2018,2,111176.0,1.059,112235.0,,Río Negro
424,2018,2,134166.0,1.0,134167.0,,Salta
425,2018,2,63443.0,658.0,64101.0,,San Juan
426,2018,2,21168.0,300.0,21468.0,,San Luis
427,2018,2,33970.0,435.0,34405.0,,Santa Cruz
428,2018,2,684243.0,309.0,684552.0,,Santa Fe
429,2018,2,83773.0,2.0,83775.0,,Santiago Del Estero
430,2018,2,44199.0,508.0,44707.0,,Tierra Del Fuego
431,2018,2,169926.0,31.0,169957.0,,Tucumán
432,2018,1,3464882.0,10.564,3475446.0,,Buenos Aires
433,2018,1,1359882.0,6.688,1366570.0,,Capital Federal
434,2018,1,33934.0,11.0,33945.0,,Catamarca
435,2018,1,96925.0,12.0,96937.0,,Chaco
436,2018,1,95532.0,2.427,97959.0,,Chubut
437,2018,1,713825.0,101.0,713926.0,,Córdoba
438,2018,1,94406.0,11.0,94417.0,,Corrientes
439,2018,1,197346.0,48.0,197394.0,,Entre Ríos
440,2018,1,32328.0,0.0,32328.0,,Formosa
441,2018,1,44405.0,1.0,44406.0,,Jujuy
442,2018,1,82668.0,396.0,83064.0,,La Pampa
443,2018,1,52228.0,17.0,52245.0,,La Rioja
444,2018,1,199463.0,1.484,200947.0,,Mendoza
445,2018,1,103580.0,0.0,103580.0,,Misiones
